tweet_id,tweet_text,traffic data
7.70E+17,Safe travels!,0
7.70E+17,Accident OB I-290 @ North Ave. blocks 2 left lanes.,1
7.70E+17,Accident in West Chicago at Main St. and Neltnor Blvd.,1
7.70E+17,Accident IB Bishop Ford @ Dolton blocks the right lane. Delays start at 159th.,1
7.70E+17,"Accident OB Kennedy @ Kimball blocks 2 left lanes, causing big delays just past North Ave. to Irving Park Rd.",1
7.70E+17,Accident in Carol Stream at Main Place and St. Charles Rd.,1
7.70E+17,Accident in Oakbrook Terrace at IL-83 and Roosevelt Rd.,1
7.70E+17,Accident in Hinsdale at Chicago Ave. and Grant St.,1
7.70E+17,Changes on the Red Line ... https://t.co/UiUJdjbBKC,0
7.70E+17,The Chicago Triathlon and Half Marathon closes streets ahead of Sunday's race. https://t.co/VAGtSfhH1J,1
7.70E+17,Taste of Greektown closes West Loop streets this weekend... https://t.co/cWC6CGV0Yk,0
7.70E+17,Construction on the OB side of I-290 at North Ave. until 9 a.m. https://t.co/WjpJXbohRB,1
7.70E+17,"Rain, Rain go away! The #Bears have a pre-season game to play! https://t.co/cdzZFrGKQu",0
7.69E+17,"We made it, everyone... Happy Friday :)  Enjoy the weekend! https://t.co/hZCMfIWuSu",0
7.69E+17,OB DAN RYAN: A crash approaching I-55 BLOCKS 2 right lanes. https://t.co/5ZZwqje3gw,1
7.69E+17,Going to the @whitesox game tonight? The Dan Ryan clocks in @ 30 MINUTES: 95th-Dtwn // 34 MINUTES: Dtwn-95th. https://t.co/Qj0JOWSgzg,0
7.69E+17,#CHICAGOLAND DRIVE TIMES @ 5:30PM: Range from 25-80 MINUTES. https://t.co/80XWhSdeUF,0
7.69E+17,"#CHICAGO: Starting @ midnight, Western Ave will be CLOSED from 31st to 35th St for weekend bridge maintenance.. Will re-open Monday morning.",1
7.69E+17,OB I-290: ROADWORK REMINDER https://t.co/xU4CcOOuD4,1
7.69E+17,"#METRA: An OB @metraUPW train due into Geneva @ 5:47pm is STOPPED near Kedzie, due to a mechanical failure.",0
7.69E+17,"#CHICAGO: Starting @ 7 tonight, Columbus Dr CLOSED BOTH DIRECTIONS from Roosevelt to Balbo Dr, for Chicago Triathalon set-up.",1
7.69E+17,#CHICAGOLAND DRIVE TIMES @ 5PM: Range from 30-70 MINUTES. https://t.co/AchRK474DY,0
7.69E+17,#CHICAGO: @BillyJoel concert @ #WrigleyField starts @ 8pm :) https://t.co/TI2i14pnYH,0
7.69E+17,"#METRA: An IB @metraBNSF train due into Chicago @ 4:44pm is STOPPED, due to police activity.",0
7.69E+17,"Going to the @billyjoel show tonight? Along with the #CTA Red Line, there's added service on #80 &amp; #152 buses. https://t.co/glSYqKGg0J",0
7.69E+17,#CHICAGO: Police activity @ State/Lake St.,0
7.69E+17,#CHICAGO: Accident @ 87th/Stony Island Ave.,1
7.69E+17,#CHICAGOLAND DRIVE TIMES @ 4:30PM: Range from 25-65 MINUTES. https://t.co/zGqni7UGtG,0
7.69E+17,#CHICAGO: Accident @ 65th/Washtenaw Ave.,1
7.69E+17,LONG GROVE: Accident @ IL-22/Old McHenry Rd.,1
7.69E+17,#CTA RED LINE: WEEKEND WORK https://t.co/fOxl96KkLY,0
7.69E+17,"#METRA: An OB @metraMED train due into University Park @ 4:30pm is STOPPED @ Hazelcrest, due to a mechanical problem.",0
7.69E+17,#ELMHURST: Accident @ IL-83/St. Charles Rd.,1
7.69E+17,EB I-80: A crash near IL-7/Larkin Ave BLOCKS the left lane. https://t.co/1EHfUd6oWV,1
7.69E+17,#CHICAGO: Police activity @ 64th/Calumet Ave. https://t.co/hnOkz0spaT,0
7.69E+17,#CHICAGOLAND DRIVE TIMES @ 4PM: Range from 20-65 MINUTES. https://t.co/KA6ZmtS2n1,0
7.69E+17,#CHICAGO: ROADWORK REMINDER https://t.co/jaLluR0489,1
7.69E+17,#CHICAGO: Accident @ Cermak/Loomis St.,1
7.69E+17,NB IL-394: A crash near Sauk Trail BLOCKS ALL LANES... Only the shoulder squeezes by. https://t.co/eOhJTjZ3P4,1
7.69E+17,#CHICAGOLAND DRIVE TIMES @ 3:30PM: Range from 20-60 MINUTES. https://t.co/szjpEYeBBQ,0
7.69E+17,WEST CHICAGO: Accident @ IL-59/Hawthorn Lane.,1
7.69E+17,#WINFIELD: Accident @ Geneva/County Farm Rd.,1
7.69E+17,#CHICAGOLAND DRIVE TIMES @ 3PM: Range from 20-50 MINUTES. https://t.co/rqSsVoYFi0,0
7.69E+17,#CHICAGO: ROADWORK REMINDER https://t.co/s9a8vQNvBm,1
7.69E+17,"GOOD FRIDAY AFTERNOON, #CHICAGOLAND :) https://t.co/WFYDLWTrF2",0
7.69E+17,"South Loop, Roosevelt Rd  And Michigan Ave - Accident - police on scene",1
7.69E+17,"Ingleside, Route 59  And Wilson Rd - Accident - police on scene",1
7.69E+17,"Wheaton, County Farm Rd  And Roosevelt Rd - Accident - police on scene",1
7.69E+17,"Oak Brook, Midwest Rd   And 22nd St - Accident - police on scene",1
7.69E+17,"I-355 NB @ 63rd, stall on the left shoulder, causing minor delays. https://t.co/9BDSG58b4z",1
7.69E+17,"Gurnee, SB  Delany Rd  And Grove Ave - Accident - left lane blocked, police on scene https://t.co/dGE5owFXLu",1
7.69E+17,I-80/I-94 Borman Expy Westbound At IN-912 Cline Av (#5) - Accident Investigation - CLEARED https://t.co/ILrJUZlEVL,1
7.69E+17,"Hawthorn Woods, SB Quentin Rd &amp; Route 22 - Accident - right lane blocked, police on scene https://t.co/Js1aNHDjZm",1
7.69E+17,Union Pacific North Train #304 is operating 15 minutes behind schedule due to police activity.,0
7.69E+17,"Metawa, WB Route 60  And Riverwoods Rd - Accident - police on scene",1
7.69E+17,"Woodridge, 75th St  And Route 53 - Accident",1
7.69E+17,I-55 Stevenson Exwy Outbound At US-12/US-20/US-45/La Grange Rd (#279) - Accident - Reported https://t.co/VN9sF20TlK,1
7.69E+17,"Still cleaning up after an earlier fatal crash on WB I-90/94 @ Cline. 3 left lanes now open, &amp; the semi is gone! https://t.co/GJxycuAZmL",1
7.69E+17,Finally towed that overturned semi from I-80/94 WB @ Cline https://t.co/rCgi7YdV9w,0
7.69E+17,"OB Kennedy ramp to Belmont, stalled vehicle in the right lane https://t.co/J5N3m2SBEr",1
7.69E+17,https://t.co/HmrWEu2Pbh,0
7.69E+17,Still cleaning up after an earlier fatal crash on WB I-90/94 @ Cline. 3 left lanes now open! https://t.co/ZIQmAAMgUe,1
7.69E+17,Still cleaning up after an earlier fatal crash on WB I-90/94 @ Cline. 3 left lanes now open! https://t.co/wTjWVqm7EQ,1
7.69E+17,"That overturned semi is being towed away from I-80/94 WB @ Cline, but the backup now starts WB @ Broadway. YIKES! https://t.co/w8rMU9Rqfi",0
7.69E+17,And there it goes. That overturned semi is being towed away from I-80/94 WB @ Cline. https://t.co/pZewrPkxIM,0
7.69E+17,And there it goes. That overturned semi is being towed away from I-80/94 WB @ Cline. https://t.co/TCZCWO17jz,0
7.69E+17,Investigation continues in the fatal crash on I-80/I-94 WB @ Cline. Right lane/right shoulder blocked. Towing NOW! https://t.co/6IRLvH4dfC,1
7.69E+17,Investigation continues in the fatal crash on I-80/I-94 WB @ Cline. Right lane/right shoulder blocked. Tow on scene. https://t.co/EF9REky0jb,1
7.69E+17,Investigation continues in the fatal crash on I-80/I-94 WB @ Cline. Right lane/right shoulder blocked. Tow on scene. https://t.co/qReHUbBakj,1
7.69E+17,"Lisle, Fender Rd  And Old Tavern Rd - Accident - police on scene",1
7.69E+17,#Skycam9 https://t.co/t6o9vE2brt,0
7.69E+17,https://t.co/96Y1kxNq6i,0
7.69E+17,here comes the SUN! https://t.co/jzCcDl5jWa,0
7.69E+17,Investigation continues in the fatal crash on I-80/I-94 WB @ Cline. Right lane/right shoulder blocked. Tow on scene. https://t.co/raABwJdEgZ,1
7.69E+17,Investigation continues in the fatal crash on I-80/I-94 WB @ Cline. Right lane/right shoulder blocked. Tow on scene. https://t.co/Pxw8KB6bja,1
7.69E+17,"Fatal car vs semi crash on I-80/I-94 WB @ Cline. Left shoulder/left lane gets by, police, fire, tow on scene. https://t.co/xSj8JWOpTC",1
7.69E+17,"Fatal car vs semi crash on I-80/I-94 WB @ Cline. Left shoulder/left lane gets by, police, fire, tow on scene. https://t.co/5AeMjTiTAC",1
7.69E+17,"Fatal car vs semi crash on I-80/I-94 WB @ Cline. Left shoulder/left lane gets by, police, fire, tow on scene. https://t.co/9lxLI4CiTx",1
7.69E+17,"Fatal car vs semi crash on I-80/I-94 WB @ Cline. Left shoulder/left lane gets by, police, fire, tow on scene. https://t.co/iJTwClfQc4",1
7.69E+17,#Skycam9 https://t.co/dQmZoWEiIV,0
7.69E+17,"Fatal car vs semi crash on I-80/I-94 WB @ Cline. Left shoulder/left lane gets by, police, fire, tow on scene. https://t.co/8Rqw7KeBfw",1
7.69E+17,"Fatal car vs semi crash on I-80/I-94 WB @ Cline. Left shoulder/left lane gets by, police, fire, tow on scene. https://t.co/XsVbkqmCqj",1
7.69E+17,"An accident, with police on the scene, in West Chicago at Neltnor Blvd &amp; Hawthorn Ln. https://t.co/TELtyKrHrU",1
7.69E+17,"Fatal car vs semi crash on I-80/I-94 WB @ Cline. Left shoulder/left lane gets by, police, fire, tow on scene. https://t.co/LFXwLF1yqX",1
7.69E+17,"Fatal car vs semi crash on I-80/I-94 WB @ Cline. Only shoulder gets by, police, fire, tow on scene. https://t.co/bdXnBQ40WR",1
